record_id,title,authority,source_type,jurisdiction,court,document_date,year,act_section,legal_status,effective_date,download_date,sha256,source_url,item_url,original_filename,local_path,mime_type,size_bytes,language,parent_act,repository_item_id,repository_bitstream_id,notes
url:a019dad267e1c17d506273e9c4c962b17b0be4966c96df6b6354dd974ffb2f6e,"THE BHARATIYA NYAYA SANHITA, 2023","Ministry of Home Affairs, Government of India",act,India - Central,,,2023,,current/verify,,2026-08-20,c9da896e7a16c481a46235789f74f545b7a9ed7f3a5c8049d0b1b9252c6731f4,https://www.mha.gov.in/sites/default/files/2024-04/250883_english_01042024.pdf,https://www.mha.gov.in/en/commoncontent/new-criminal-laws,250883_english_01042024.pdf,originals/government/www.mha.gov.in/a019dad267e1c17d/250883_english_01042024.pdf,application/pdf,1324200,English,,,,Official Government of India source page
url:d43edebed6a8046dc40d7f87c38dd1c825fb58710ae057655a16c29d29c8c532,"THE BHARATIYA SAKSHYA ADHINIYAM, 2023","Ministry of Home Affairs, Government of India",act,India - Central,,,2023,,current/verify,,2026-08-20,13e2b6eb66add222c7262ccaa0b08d58e48ca22cdf0953f6541123ef039de239,https://www.mha.gov.in/sites/default/files/2024-04/250882_english_01042024_0.pdf,https://www.mha.gov.in/en/commoncontent/new-criminal-laws,250882_english_01042024_0.pdf,originals/government/www.mha.gov.in/d43edebed6a8046d/250882_english_01042024_0.pdf,application/pdf,670370,English,,,,Official Government of India source page
url:c7fcbe6da158a7a644fa6b3124c7e686296150d1fc9a2c8f05301dd36056a007,"THE BHARATIYA NAGARIK SURAKSHA SANHITA, 2023","Ministry of Home Affairs, Government of India",act,India - Central,,,2023,,current/verify,,2026-08-20,5e60e2afe30d0fe7eca4f8126301146b76c86a444e690581f81eb564843517fe,https://www.mha.gov.in/sites/default/files/2024-04/250884_2_english_01042024.pdf,https://www.mha.gov.in/en/commoncontent/new-criminal-laws,250884_2_english_01042024.pdf,originals/government/www.mha.gov.in/c7fcbe6da158a7a6/250884_2_english_01042024.pdf,application/pdf,2033181,English,,,,Official Government of India source page
url:acda457ff2f38ba1546802de7cb8d5c7e5a9c2a95e00b31d8cc600bb85c254fd,"THE BHARATIYA NYAYA SANHITA, 2023","Ministry of Home Affairs, Government of India - Judicial Division",act,India - Central,,,2023,,current/verify,,2026-08-20,c9da896e7a16c481a46235789f74f545b7a9ed7f3a5c8049d0b1b9252c6731f4,https://www.mha.gov.in/sites/default/files/2026-02/1_250883_english_01042024.pdf,https://www.mha.gov.in/en/commoncontent/judicial-division,1_250883_english_01042024.pdf,originals/government/www.mha.gov.in/acda457ff2f38ba1/1_250883_english_01042024.pdf,application/pdf,1324200,English,,,,Official Government of India source page
url:d7a0cbfbc3753771d5439f58f5e2293e70f61411e2184f410120fc85e11f9066,"THE BHARATIYA SAKSHYA ADHINIYAM, 2023","Ministry of Home Affairs, Government of India - Judicial Division",act,India - Central,,,2023,,current/verify,,2026-08-20,13e2b6eb66add222c7262ccaa0b08d58e48ca22cdf0953f6541123ef039de239,https://www.mha.gov.in/sites/default/files/2026-02/2_250882_english_01042024_0.pdf,https://www.mha.gov.in/en/commoncontent/judicial-division,2_250882_english_01042024_0.pdf,originals/government/www.mha.gov.in/d7a0cbfbc3753771/2_250882_english_01042024_0.pdf,application/pdf,670370,English,,,,Official Government of India source page
url:869bb48630ba6dfb0c0a238059bb5fa641f07ccbc9befd5668c48536552e90c5,"THE BHARATIYA NAGARIK SURAKSHA SANHITA, 2023","Ministry of Home Affairs, Government of India - Judicial Division",act,India - Central,,,2023,,current/verify,,2026-08-20,5e60e2afe30d0fe7eca4f8126301146b76c86a444e690581f81eb564843517fe,https://www.mha.gov.in/sites/default/files/2026-02/3_250884_2_english_01042024.pdf,https://www.mha.gov.in/en/commoncontent/judicial-division,3_250884_2_english_01042024.pdf,originals/government/www.mha.gov.in/869bb48630ba6dfb/3_250884_2_english_01042024.pdf,application/pdf,2033181,English,,,,Official Government of India source page
url:89d23a2a1cd94aad1d4c49dfafc3f3c3573812ffd134eba7d53f3ddc500e49c8,"The Criminal Law (Amendment) Act, 2018","Ministry of Home Affairs, Government of India - Judicial Division",act,India - Central,,,2018,,current/verify,,2026-08-20,86ae202053a6ca67994ffe407a187c35f8b327777feae623f8f74f457b13682b,https://www.mha.gov.in/sites/default/files/2025-11/1CSdivTheCriminalLawAct_27022023.pdf,https://www.mha.gov.in/en/commoncontent/judicial-division,1CSdivTheCriminalLawAct_27022023.pdf,originals/government/www.mha.gov.in/89d23a2a1cd94aad/1CSdivTheCriminalLawAct_27022023.pdf,application/pdf,1645391,English,,,,Official Government of India source page
url:fca86823d7f8d99b23ed78b05d9270ad130d92570b7f28f40d6becfe94b59d5a,"The Code of Criminal Procedure (Amendment) Act, 2010","Ministry of Home Affairs, Government of India - Judicial Division",act,India - Central,,,2010,,current/verify,,2026-08-20,44ac8aa22b340162bce834bf4e997b493bcdbbb06722f2029523d2b1da371cb8,https://www.mha.gov.in/sites/default/files/2025-11/3CrPCAct2010_27022023.pdf,https://www.mha.gov.in/en/commoncontent/judicial-division,3CrPCAct2010_27022023.pdf,originals/government/www.mha.gov.in/fca86823d7f8d99b/3CrPCAct2010_27022023.pdf,application/pdf,72993,English,,,,Official Government of India source page
url:f27ef59d8b5584d0825133803192adb2543cb23b0f79e7afe224d9cbf14c9c5b,"The Commissions of Inquiry Act, 1952","Ministry of Home Affairs, Government of India - Judicial Division",act,India - Central,,,1952,,current/verify,,2026-08-20,434d4ee93837cf9037617a7b8866c1c9fb651d88401b419e64d7569f05ab207e,https://www.mha.gov.in/sites/default/files/2025-11/4A1952_27022023.pdf,https://www.mha.gov.in/en/commoncontent/judicial-division,4A1952_27022023.pdf,originals/government/www.mha.gov.in/f27ef59d8b5584d0/4A1952_27022023.pdf,application/pdf,208210,English,,,,Official Government of India source page
url:8a6eabad9a3e0d6466b587c15ae7be133537cfee42b913fc83d109ab7d414afd,"The Indian Penal Code Act, 1860","Ministry of Home Affairs, Government of India - Judicial Division",act,India - Central,,,1860,,current/verify,,2026-08-20,f25d61547212f152dda8c96b19ac05a286f3a9eb6a95490ab55ec40aa4f53197,https://www.mha.gov.in/sites/default/files/2025-11/5IPC1860_27022023.pdf,https://www.mha.gov.in/en/commoncontent/judicial-division,5IPC1860_27022023.pdf,originals/government/www.mha.gov.in/8a6eabad9a3e0d64/5IPC1860_27022023.pdf,application/pdf,366748,English,,,,Official Government of India source page
